Elapsed Time,II
0.0,0.07312507475601945
0.002,0.07978874093542127
0.004,0.11439950712624394
0.006,0.1453755959767953
0.008,0.1714026667673902
0.01,0.1760022465598362
0.012,0.19800321534196835
0.014,0.21126390690855104
0.016,0.21403022842331554
0.018,0.22564075702573505
0.02,0.2306967261586712
0.022,0.24523124319171316
0.024,0.2592638217994774
0.026,0.2743422774637574
0.028,0.27953789891430614
0.03,0.2808616391992519
0.032,0.2855344977288951
0.034,0.28677943654728355
0.036,0.2828166494829556
0.038,0.2690148111782014
0.04,0.2604485877429604
0.042,0.2441034340544257
0.044,0.24126386418730625
0.046,0.22873660263354903
0.048,0.2258985389572171
0.05,0.21753556250364955
0.052,0.1981522479184104
0.054,0.20450101316572172
0.056,0.1959661443761456
0.058,0.18363969129133279
0.06,0.16881176598232808
0.062,0.1518991767589871
0.064,0.1430438863118678
0.066,0.12408755657708818
0.068,0.10934084413044412
0.07,0.09292775540778274
0.072,0.07442054997771491
0.074,0.0576879113586685
0.076,0.0454583913238614
0.078,0.025594517608840513
0.08,0.012131952492378598
0.082,-0.010520809598527695
0.084,-0.03348915377202718
0.086,-0.05167129308308495
0.088,-0.07545509639314694
0.09,-0.08610745060352235
0.092,-0.11246996006895899
0.094,-0.1435587277116043
0.096,-0.15281346292007278
0.098,-0.15691364215504314
0.1,-0.17915857083575512
0.102,-0.19531756047487764
0.104,-0.20797593393117916
0.106,-0.20522530000484748
0.108,-0.21342742861000383
0.11,-0.21990404534354335
0.112,-0.22326874172512123
0.114,-0.22272319284277212
0.116,-0.21814451485126576
0.118,-0.2206622526830866
0.12,-0.2124857144969549
0.122,-0.21612503305297717
0.124,-0.21406546194132484
0.126,-0.21857012573714116
0.128,-0.2200288647595851
0.13,-0.2242293554045963
0.132,-0.23230486017207694
0.134,-0.23640729758429666
0.136,-0.24787092445654954
0.138,-0.24933429191277318
0.14,-0.24589438872141858
0.142,-0.24147770292188453
0.144,-0.24366398518501067
0.146,-0.24375351850325444
0.148,-0.22373472190570984
0.15,-0.21371358877422622
0.152,-0.2120455305389432
0.154,-0.20778449025218237
0.156,-0.20293289532155473
0.158,-0.19174089445516537
0.16,-0.18676087002328873
0.162,-0.18511764089677804
0.164,-0.18962862457449142
0.166,-0.1853180841699624
