Elapsed Time,II
0.0,0.08873153623180077
0.002,0.10881881650236426
0.004,0.13979810738709814
0.006,0.13132579251770077
0.008,0.14154011614287454
0.01,0.15571718829049958
0.012,0.1824079159370474
0.014,0.21114593069344323
0.016,0.23844467572705916
0.018,0.25371789527052424
0.02,0.2459721106136527
0.022,0.24345383967514347
0.024,0.23488181019390256
0.026,0.24283733703202506
0.028,0.26910330585661235
0.03,0.2927632539717823
0.032,0.3052686131787501
0.034,0.30674713536641307
0.036,0.29204530080684327
0.038,0.26071578242402604
0.04,0.2443257864899561
0.042,0.22856755383813987
0.044,0.23097861155093974
0.046,0.2335661918361327
0.048,0.24347453147753262
0.05,0.23264746899746833
0.052,0.20412555193164908
0.054,0.1977323432517324
0.056,0.1769643338030246
0.058,0.173370570882718
0.06,0.17891225616052292
0.062,0.16078811115648808
0.064,0.1392343131472974
0.066,0.1216468253556287
0.068,0.11077146831070507
0.07,0.09503300602954741
0.072,0.08372882850083002
0.074,0.06349385526122625
0.076,0.03232367793195474
0.078,0.009716599727002687
0.08,0.010163509800174574
0.082,-0.0061858629734111836
0.084,-0.0227333062066969
0.086,-0.03463604884104892
0.088,-0.07398659606254153
0.09,-0.1015399992607675
0.092,-0.11884024745552928
0.094,-0.14250562525713464
0.096,-0.1616261219984499
0.098,-0.16358265362102073
0.1,-0.16879212066594704
0.102,-0.17646099570380758
0.104,-0.19372706673856654
0.106,-0.20882210521289615
0.108,-0.23815005226135524
0.11,-0.2407166283096882
0.112,-0.22126127174044372
0.114,-0.21017531780690743
0.116,-0.20306873699065472
0.118,-0.20546574016864336
0.12,-0.21515715992580872
0.122,-0.2344732851973577
0.124,-0.22209479186838638
0.126,-0.21849346095514205
0.128,-0.22407790891463722
0.13,-0.21939494719985245
0.132,-0.22043738376121116
0.134,-0.23439809472038536
0.136,-0.24506706190935115
0.138,-0.24436838955753912
0.14,-0.2617418422845095
0.142,-0.2607315003835743
0.144,-0.2345212272221235
0.146,-0.22812727675017322
0.148,-0.2227428911110154
0.15,-0.21152503080811777
0.152,-0.21319876982027958
0.154,-0.2195617603767644
0.156,-0.20181270094060183
0.158,-0.18333515661135166
0.16,-0.19436677935854735
0.162,-0.18555794004836465
0.164,-0.17543755754513243
0.166,-0.192815328782631
0.168,-0.1819421233308095
0.17,-0.16102991437017927
0.172,-0.16550645754893667
0.174,-0.1691304541340557
0.176,-0.15637852600265495
0.178,-0.17169312054626118
0.18,-0.1952731201428793
0.182,-0.17108115000804974
0.184,-0.15450793265107882
0.186,-0.1675065598885835
0.188,-0.14050784583425838
0.19,-0.12564289895102027
0.192,-0.1786773498639564
0.194,-0.145113617910082
0.196,-0.08162412499887206
0.198,-0.13251666147990973
0.2,-0.036971214730210235
0.202,-0.044406027765245215
0.204,-0.09356032620446819
0.206,-0.07053560822574635
0.208,-0.06560949208026566
0.21,-0.09317520112205407
